resblock_id,resblock_name,district_name,jiedao
id5011000014683,名泉苑,普陀区,甘泉路街道
id5011000014684,品臻国际公寓,浦东新区,高桥镇
id5011000014685,宏明雅舍,闵行区,七宝镇
id5011000014687,紫罗兰家苑,杨浦区,控江路街道
id5011000014688,嘉定颐景园,嘉定区,菊园新区管委会
id5011000014689,富林苑一期,闵行区,莘庄镇
id5011000014690,金禾新苑,浦东新区,东明路街道
id5011000014691,名光大厦,长宁区,华阳路街道
id5011000014692,星梅花苑,普陀区,长征镇
id5011000014693,东港丽景苑,浦东新区,高桥镇
id5011000014697,城南新村,嘉定区,嘉定镇街道
id5011000014699,辉煌公寓,徐汇区,徐家汇街道
id5011000014700,俞二小区,徐汇区,龙华街道
id5011000014701,三佳花苑,闵行区,七宝镇
id5011000014702,泗东新村,宝山区,吴淞街道
id5011000014703,水电小区,虹口区,凉城新村街道
id5011000014703,华东公寓,虹口区,凉城新村街道
id5011000014704,金顺小区,浦东新区,北蔡镇
id5011000014705,邮电二村,虹口区,曲阳路街道
id5011000014706,华亭新家银杏苑,松江区,永丰街道
id5011000014707,莘松九村,闵行区,莘庄镇
id5011000014709,美好家小区,宝山区,大场镇
id5011000014710,祥和公寓松江,松江区,泗泾镇
id5011000014712,东旺名苑,浦东新区,三林镇
id5011000014713,丰庄二村,嘉定区,真新街道
id5011000014714,东荡小区,徐汇区,漕河泾街道
id5011000014715,荣欣苑,松江区,永丰街道
id5011000014716,乐山六七村,徐汇区,徐家汇街道
id5011000014717,金杨新村十一街坊,浦东新区,金杨新村街道
id5011000014718,工农三村,杨浦区,殷行街道
id5011000014718,工农新村,杨浦区,殷行街道
id5011000014719,仓城五村,松江区,永丰街道
id5011000014720,文翔名苑公寓,松江区,方松街道
id5011000014721,龙湖蓝湖郡别墅,嘉定区,安亭镇
id5011000014722,海上明珠园,金山区,山阳镇
id5011000014723,金星绿苑,宝山区,罗店镇
id5011000014724,荷一小区,浦东新区,浦兴路街道
id5011000014725,春峰苑公寓,松江区,方松街道
id5011000014726,兴苑,嘉定区,安亭镇
id5011000014729,泰莱大厦,徐汇区,枫林路街道
id5011000014730,廖南小区,嘉定区,真如镇
id5011000014730,疁南小区,嘉定区,真如镇
id5011000014731,景怡花苑公寓,松江区,方松街道
id5011000014733,铂客公寓,闵行区,颛桥镇
id5011000014734,嘉尚坊,嘉定区,真新街道
id5011000014735,新青浦花苑别墅,青浦区,夏阳街道
id5011000014736,康桥花园,浦东新区,康桥镇
id5011000014737,金陵大楼,黄浦区,外滩街道
id5011000014738,望隆苑,虹口区,江湾镇街道
id5011000014739,环龙公寓,浦东新区,花木街道
id5011000014744,大众春盛苑,嘉定区,安亭镇
id5011000014745,莱顿小城,松江区,中山街道
id5011000014747,环绿国际,宝山区,顾村镇
id5011000014748,万科荷花苑,闵行区,七宝镇
id5011000014749,大华锦绣华城十六街区公寓,浦东新区,北蔡镇
id5011000014750,新江湾佳苑,杨浦区,新江湾城街道
id5011000014751,兰馨公寓卢湾,黄浦区,瑞金二路街道
id5011000014752,大华锦绣华城十二街区,浦东新区,北蔡镇
id5011000014753,世和园,杨浦区,五角场镇
id5011000014755,海滨六村,宝山区,吴淞街道
id5011000014758,香逸湾,宝山区,杨行镇
id5011000014760,蔷薇五村,闵行区,梅陇镇
id5011000014760,蔷薇一村待删除,闵行区,梅陇镇
id5011000014763,翔殷四村,杨浦区,殷行街道
id5011000014764,品华苑,浦东新区,东明路街道
id5011000014766,虹园六村,长宁区,新泾镇
id5011000014768,冠华大楼,静安区,共和新路街道
id5011000014769,东陆新村二街坊,浦东新区,浦兴路街道
id5011000014770,新怡苑小区,普陀区,甘泉路街道
id5011000014771,阳光海岸公寓,奉贤区,海湾镇
id5011000014772,东沟三村,浦东新区,高行镇
id5011000014775,合生江湾国际公寓,杨浦区,新江湾城街道
id5011000014775,合生江湾国际公寓,普陀区,新江湾城街道
id5011000014776,真光六小区,普陀区,真如镇
id5011000014777,金杨七街坊,浦东新区,金杨新村街道
id5011000014778,安国大楼,虹口区,提篮桥街道
id5011000014779,开开公寓,普陀区,长征镇
id5011000014780,芙二小区,长宁区,仙霞新村街道
id5011000014781,周浦新村,浦东新区,周浦镇
id5011000014782,馨良苑,宝山区,高境镇
id5011000014783,明华大厦,黄浦区,老西门街道
id5011000014785,海湾艺墅,奉贤区,海湾镇
id5011000014786,黄陵小区,普陀区,甘泉路街道
id5011000014787,檀乡湾,宝山区,顾村镇
id5011000014788,中惠广场,浦东新区,金桥镇
id5011000014789,云台二小区,浦东新区,周家渡街道
id5011000014790,仙霞别墅,长宁区,仙霞新村街道
id5011000014793,新洲豪园,浦东新区,川沙新镇
id5011000014793,川杨璟园,浦东新区,川沙新镇
id5011000014795,金地格林世界卢尔公寓,嘉定区,南翔镇
id5011000014796,汇达苑,徐汇区,漕河泾街道
id5011000014798,宁定大楼,长宁区,周家桥街道
id5011000014799,高行馨苑,浦东新区,高行镇
id5011000014800,悦公馆永和东路,静安区,大宁路街道
id5011000014801,康沁苑,徐汇区,康健新村街道
id5011000014802,翠珠大厦,浦东新区,川沙新镇
id5011000014803,协虹苑,长宁区,新泾镇
id5011000014803,协虹苑,,新泾镇
id5011000014804,上钢二村,浦东新区,上钢新村街道
id5011000014805,凉城一村,虹口区,凉城新村街道
id5011000014806,桃李家园,浦东新区,三林镇
id5011000014807,中环国际大厦,杨浦区,五角场街道
id5011000014808,荣华西道99弄,长宁区,虹桥街道
id5011000014808,金马公寓,长宁区,虹桥街道
id5011000014809,梅园二街坊,浦东新区,陆家嘴街道
id5011000014811,双阳大楼,杨浦区,延吉新村街道
id5011000014814,万业紫辰苑,宝山区,杨行镇
id5011000014815,开源大厦,黄浦区,五里桥街道
id5011000014816,兰田大楼,普陀区,石泉路街道
id5011000014818,金榜人家,闵行区,江川路街道
id5011000014820,政民花苑,杨浦区,五角场街道
id5011000014821,仁德小区,虹口区,江湾镇街道
id5011000014824,海桐小区,浦东新区,花木街道
id5011000014826,绿川家园,浦东新区,北蔡镇
id5011000014827,华江大楼,长宁区,华阳路街道
id5011000014828,绿地秋霞坊公寓,嘉定区,马陆镇
id5011000014831,剑桥丽苑,闵行区,江川路街道
id5011000014832,潼港八村,浦东新区,高桥镇
id5011000014834,爱建新家园,静安区,临汾路街道
id5011000014835,长宏新苑,宝山区,淞南镇
id5011000014836,上地公寓,虹口区,凉城新村街道
id5011000014838,解放新村,奉贤区,南桥镇
id5011000014839,鑫峰苑,闵行区,莘庄工业区
id5011000014840,上尚缘,松江区,方松街道
id5011000014841,都市富苑,闵行区,颛桥镇
id5011000014842,新叶公寓,宝山区,吴淞街道
id5011000014843,银都新村8至10区,闵行区,颛桥镇
id5011000014844,广凉苑,虹口区,凉城新村街道
id5011000014845,新顾村大家园C区,宝山区,顾村镇
id5011000014847,海院小区,浦东新区,洋泾街道
id5011000014848,大桥花苑,浦东新区,金杨新村街道
id5011000014851,星云苑,杨浦区,五角场镇
id5011000014853,艾南小区,浦东新区,北蔡镇
id5011000014854,山鑫康城,金山区,山阳镇
id5011000014855,滇池小区,黄浦区,外滩街道
id5011000014857,民欣苑,杨浦区,五角场镇
id5011000014858,万兆家园三期,闵行区,七宝镇
id5011000014858,万兆家园,闵行区,七宝镇
id5011000014858,万兆家园五期,闵行区,七宝镇
id5011000014859,金杨六街坊,浦东新区,金杨新村街道
id5011000014862,东上海中心,杨浦区,五角场街道
id5011000014865,凌兆丁香苑,浦东新区,东明路街道
id5011000014868,福田公寓,青浦区,朱家角镇
id5011000014870,聚航苑,浦东新区,航头镇
id5011000014871,白玉兰花园,宝山区,友谊路街道
id5011000014872,方中小区,黄浦区,豫园街道
id5011000014873,旭辉依云湾别墅,宝山区,顾村镇
id5011000014874,万科琥珀郡园,宝山区,罗店镇
id5011000014875,佳宝二村,闵行区,七宝镇
id5011000014876,开元新都,松江区,方松街道
id5011000014877,田林三村,徐汇区,田林街道
id5011000014878,家化公寓,虹口区,提篮桥街道
id5011000014879,闵富花苑,闵行区,莘庄镇
id5011000014880,莲花公寓闵行,闵行区,梅陇镇
id5011000014881,界龙花苑,浦东新区,川沙新镇
id5011000014882,海上海新城公寓,杨浦区,江浦路街道
id5011000014885,汇秀公寓,宝山区,张庙街道
id5011000014888,绿苑新城,嘉定区,安亭镇
id5011000014889,龙柏四季花园,闵行区,虹桥镇
id5011000014890,政通新苑,杨浦区,五角场街道
id5011000014891,广虹馨苑,青浦区,徐泾镇
id5011000014892,星城美景苑,静安区,彭浦镇
id5011000014893,高行绿洲一期,浦东新区,高行镇
id5011000014894,乳山四村,浦东新区,陆家嘴街道
id5011000014897,海尚逸苑,虹口区,江湾镇街道
id5011000014900,宜达新居,青浦区,夏阳街道
id5011000014901,帕缇欧香苑,青浦区,夏阳街道
id5011000014902,万宇阳光苑,松江区,新桥镇
id5011000014904,同济欣苑,杨浦区,五角场街道
id5011000014905,宜浩佳园,浦东新区,南汇新城镇
id5011000014908,同盛嘉园,宝山区,杨行镇
id5011000014909,翰林苑,虹口区,广中路街道
id5011000014910,华谊星城大厦,杨浦区,大桥街道
id5011000014911,耀浦苑,杨浦区,江浦路街道
id5011000014912,江南欣苑闵行,闵行区,梅陇镇
id5011000014913,嘉骏花苑,宝山区,淞南镇
id5011000014914,嘉禄新苑,杨浦区,平凉路街道
id5011000014915,丁家弄小区,徐汇区,湖南路街道
id5011000014916,杏园,普陀区,曹杨新村街道
id5011000014917,绿洲公寓,普陀区,真如镇
id5011000014918,盛世馨园,静安区,彭浦镇
id5011000014919,宁锦小区,长宁区,周家桥街道
id5011000014920,潍坊五村,浦东新区,潍坊新村街道
id5011000014921,地铁明珠苑,闵行区,莘庄镇
id5011000014924,莲溪六村,浦东新区,北蔡镇
id5011000014926,民生里,长宁区,周家桥街道
id5011000014927,永新晶苑,徐汇区,徐家汇街道
id5011000014928,帝豪苑,长宁区,新泾镇
id5011000014929,天申小区,长宁区,新泾镇
id5011000014930,新风小区,长宁区,天山路街道
id5011000014931,宣化小区,长宁区,江苏路街道
id5011000014932,富丽公寓西区,闵行区,七宝镇
id5011000014934,长桥四村,徐汇区,长桥街道
id5011000014935,世纪非凡锦城,宝山区,顾村镇
id5011000014937,川杨璟苑,浦东新区,川沙新镇
id5011000014938,康健公寓,徐汇区,康健新村街道
id5011000014939,莘南新村,闵行区,莘庄镇
id5011000014941,昌里花园,浦东新区,周家渡街道
id5011000014941,昌里花园一期,浦东新区,周家渡街道
id5011000014943,桂平路277弄,徐汇区,康健新村街道
id5011000014944,合生高尔夫公寓,杨浦区,江浦路街道
id5011000014945,秦家弄小区,杨浦区,平凉路街道
id5011000014946,双东小区,虹口区,曲阳路街道
id5011000014946,东体育会路671号,虹口区,曲阳路街道
id5011000014946,东体育会路699号,虹口区,曲阳路街道
id5011000014946,东体育会路683号,虹口区,曲阳路街道
id5011000014947,沙家浜小区,徐汇区,华泾镇
id5011000014948,双秀西园,浦东新区,康桥镇
id5011000014949,祥泰苑,宝山区,大场镇
id5011000014950,佳洲欣苑,浦东新区,川沙新镇
id5011000014951,松花小区,虹口区,曲阳路街道
id5011000014952,乐康苑,奉贤区,南桥镇
id5011000014953,沔溪苑,浦东新区,康桥镇
id5011000014956,宝仪花苑,闵行区,七宝镇
id5011000014957,万科金色城市,浦东新区,北蔡镇
id5011000014958,保利叶上海三期公寓,宝山区,顾村镇
id5011000014959,安宁欧洲花园,闵行区,江川路街道
id5011000014960,申立苑,浦东新区,洋泾街道
id5011000014961,张杨南苑,浦东新区,洋泾街道
id5011000014962,新城名园,浦东新区,洋泾街道
id5011000014963,海虹小区,虹口区,凉城新村街道
id5011000014963,海虹大楼,虹口区,凉城新村街道
id5011000014965,兰桂坊,徐汇区,虹梅路街道
id5011000014967,新安小区,长宁区,仙霞新村街道
id5011000014968,钦州花苑,徐汇区,田林街道
id5011000014969,新泾七村,长宁区,北新泾街道
id5011000014970,郁庭峰,长宁区,新泾镇
id5011000014971,新虹桥雅苑,青浦区,徐泾镇
id5011000014972,平阳绿家园,闵行区,古美街道
id5011000014973,岚益公寓,普陀区,石泉路街道
id5011000014974,龚路新城,浦东新区,曹路镇
id5011000014975,北郊小区,虹口区,欧阳路街道
id5011000014976,奉德苑,奉贤区,奉城镇
id5011000014977,宝钢四村,宝山区,友谊路街道
id5011000014980,龙阳花苑,浦东新区,南码头路街道
id5011000014981,高兴花园,闵行区,梅陇镇
id5011000014982,天秀苑,徐汇区,凌云路街道
id5011000014983,嘉城桃花岛别墅,嘉定区,江桥镇
id5011000014986,衡辰公寓,长宁区,周家桥街道
id5011000014987,大众家园,黄浦区,五里桥街道
id5011000014988,城信大厦,黄浦区,半淞园路街道
id5011000014989,鹏海小区,浦东新区,北蔡镇
id5011000014990,虹纺小区,长宁区,仙霞新村街道
id5011000014991,凤城三村,杨浦区,控江路街道
id5011000014992,永年大厦,黄浦区,打浦桥街道
id5011000014993,清真小区,徐汇区,斜土路街道
id5011000014995,华城丽苑,浦东新区,三林镇
id5011000014996,汇金广场,徐汇区,徐家汇街道
id5011000014998,日晖六村,徐汇区,斜土路街道
id5011000014999,常德名园,普陀区,长寿路街道
id5011000015000,东渡名人大厦,虹口区,欧阳路街道
id5011000015001,蓝宝石公寓,静安区,南京西路街道
id5011000015002,武定大厦,长宁区,华阳路街道
id5011000015003,金汇花园三街坊先锋公寓,闵行区,虹桥镇
id5011000015004,市政大楼,浦东新区,陆家嘴街道
id5011000015006,南洋虹桥公寓,长宁区,虹桥街道
id5011000015007,石岚三村,普陀区,石泉路街道
id5011000015009,万源杰座,浦东新区,花木街道
id5011000015012,达汇花园公寓,徐汇区,天平路街道
id5011000015014,四季园,徐汇区,枫林路街道
id5011000015015,新华大厦,长宁区,新华路街道
id5011000015016,伯龙公寓,静安区,江宁路街道
id5011000015017,鸿发苑,长宁区,新华路街道
id5011000015018,虹桥城市花园公寓,长宁区,虹桥街道
id5011000015019,丽茵别墅,松江区,泗泾镇
id5011000015020,三宝花苑,静安区,宝山路街道
id5011000015021,懿德公寓,静安区,静安寺街道
id5011000015022,人民大楼,黄浦区,外滩街道
id5011000015023,银城大厦,普陀区,长风新村街道
id5011000015024,金桂苑徐汇,徐汇区,康健新村街道
id5011000015027,茂兴大厦,浦东新区,塘桥街道
id5011000015028,巨富大厦,静安区,静安寺街道
id5011000015029,海上华庭,徐汇区,康健新村街道
id5011000015030,望族新城,闵行区,古美街道
id5011000015031,郑家巷小区,静安区,石门二路街道
id5011000015033,柏林春天,闵行区,莘庄镇
id5011000015034,嘉利豪园,长宁区,程家桥街道
id5011000015035,恬园风云汇,长宁区,新华路街道
id5011000015036,天际花园,徐汇区,徐家汇街道
id5011000015037,金桥爱建园,浦东新区,花木街道
id5011000015038,高安公寓,徐汇区,天平路街道
id5011000015039,康强坊,徐汇区,康健新村街道
id5011000015040,金榜新苑,闵行区,颛桥镇
id5011000015041,都汇华庭,青浦区,香花桥街道
id5011000015042,绿景苑,浦东新区,浦兴路街道
id5011000015043,众和金融大厦,杨浦区,江浦路街道
id5011000015044,联洋花园三期,浦东新区,花木街道
id5011000015045,梅园三村,浦东新区,陆家嘴街道
id5011000015048,清枫大楼,徐汇区,枫林路街道
id5011000015048,汽车公寓,徐汇区,枫林路街道
id5011000015049,金鼎公寓浦东,浦东新区,陆家嘴街道
id5011000015050,集成大厦,浦东新区,潍坊新村街道
id5011000015055,滨江大楼,浦东新区,潍坊新村街道
id5011000015056,金衡公寓,徐汇区,漕河泾街道
id5011000015057,恒陇丽晶公寓,普陀区,曹杨新村街道
id5011000015057,中山北路,普陀区,曹杨新村街道
id5011000015061,城市经典三期,浦东新区,张江镇
id5011000015062,博爱家园,浦东新区,周家渡街道
id5011000015063,中邦晶座,浦东新区,花木街道
id5011000015064,虹南大楼,长宁区,虹桥街道
id5011000015065,曹杨花苑,普陀区,真如镇
id5011000015066,长富大厦,普陀区,甘泉路街道
id5011000015067,三林世博家园大道站路94弄,浦东新区,三林镇
id5011000015067,三林世博家园,浦东新区,三林镇
id5011000015068,水仙家园,虹口区,江湾镇街道
id5011000015069,潍坊九村,浦东新区,潍坊新村街道
id5011000015070,富南大厦,黄浦区,半淞园路街道
id5011000015071,华丽家园,闵行区,莘庄镇
id5011000015072,涵乐园,浦东新区,陆家嘴街道
id5011000015073,延武机电大楼,长宁区,新华路街道
id5011000015074,西南小区,虹口区,曲阳路街道
id5011000015075,玫瑰广场,虹口区,四川北路街道
id5011000015077,中信五牛城,浦东新区,洋泾街道
id5011000015078,中紫小区,长宁区,天山路街道
id5011000015079,瑞福北大楼,黄浦区,南京东路街道
id5011000015079,瑞福小区,黄浦区,南京东路街道
id5011000015081,顺天村南区,黄浦区,南京东路街道
id5011000015083,富宏花园别墅,闵行区,虹桥镇
id5011000015084,中星宜川花苑,普陀区,甘泉路街道
id5011000015087,景峰苑,静安区,彭浦镇
id5011000015088,通河二村,宝山区,张庙街道
id5011000015089,恒安大厦,静安区,北站街道
id5011000015090,康平大楼,徐汇区,天平路街道
id5011000015091,凯成苑,静安区,芷江西路街道
id5011000015093,杜家宅小区,长宁区,仙霞新村街道
id5011000015094,漕河景苑,徐汇区,漕河泾街道
id5011000015094,漕河景苑,静安区,漕河泾街道
id5011000015095,汤臣豪园二期,浦东新区,张江镇
id5011000015096,瞿四小区,黄浦区,半淞园路街道
id5011000015097,古北公寓,长宁区,仙霞新村街道
id5011000015098,浦西小区,虹口区,四川北路街道
id5011000015099,兴华小区,虹口区,欧阳路街道
id5011000015100,金鼎花苑,普陀区,真如镇
id5011000015101,金龙大厦,长宁区,江苏路街道
id5011000015102,秀水苑徐汇,徐汇区,凌云路街道
id5011000015103,广洋新景苑公寓,浦东新区,花木街道
id5011000015105,临江大厦,虹口区,提篮桥街道
id5011000015107,海天大厦,静安区,北站街道
id5011000015108,青云公寓,静安区,宝山路街道
id5011000015109,石泉邮政大楼,普陀区,石泉路街道
id5011000015110,创智坊公寓,杨浦区,五角场街道
id5011000015111,北巷小区,普陀区,长征镇
id5011000015112,紫金苑,黄浦区,老西门街道
id5011000015114,建德花园丁香苑,普陀区,长征镇
id5011000015115,春港丽园公寓,浦东新区,张江镇
id5011000015115,春港丽园别墅,浦东新区,张江镇
id5011000015116,虹桥府邸,长宁区,虹桥街道
id5011000015117,九联小区,虹口区,提篮桥街道
id5011000015117,九联大楼,虹口区,提篮桥街道
id5011000015118,保德公寓,静安区,彭浦新村街道
id5011000015119,昌鑫世纪园,宝山区,张庙街道
id5011000015122,东陆锦悦苑,浦东新区,浦兴路街道
id5011000015124,凯鹏国际大厦,静安区,芷江西路街道
id5011000015125,南长小区,静安区,曹家渡街道
id5011000015126,宝通大楼,静安区,宝山路街道
id5011000015127,人民坊,黄浦区,瑞金二路街道
id5011000015128,金杨新村八街坊,浦东新区,金杨新村街道
id5011000015129,丽娃大厦,普陀区,长风新村街道
id5011000015130,广中苑,静安区,彭浦镇
id5011000015130,广中苑,闵行区,彭浦镇
id5011000015133,新虹桥亚洲花园,青浦区,徐泾镇
id5011000015136,嘉嘉大楼,徐汇区,天平路街道
id5011000015137,兴国花园,徐汇区,湖南路街道
id5011000015140,明达公寓,徐汇区,徐家汇街道
id5011000015141,鸿凯湾绿苑,长宁区,华阳路街道
id5011000015142,梅花苑,浦东新区,花木街道
id5011000015143,汇京佳丽园,徐汇区,长桥街道
id5011000015144,永泰公寓,黄浦区,打浦桥街道
id5011000015146,长乐公寓,徐汇区,湖南路街道
id5011000015147,西郊华庭,长宁区,仙霞新村街道
id5011000015147,西郊华庭,浦东新区,仙霞新村街道
id5011000015148,莲花新苑,闵行区,梅陇镇
id5011000015149,陈家宅小区,浦东新区,潍坊新村街道
id5011000015149,陈家宅小区潍坊西路,浦东新区,潍坊新村街道
id5011000015150,森陇家园,徐汇区,凌云路街道
id5011000015151,华侨公寓,徐汇区,天平路街道
id5011000015155,望族苑,闵行区,梅陇镇
id5011000015156,国贸花园,虹口区,四川北路街道
id5011000015157,达安春之声,普陀区,长征镇
id5011000015158,德福苑,黄浦区,五里桥街道
id5011000015161,茂名大厦,黄浦区,瑞金二路街道
id5011000015162,弘辉名苑,黄浦区,半淞园路街道
id5011000015164,绿地春申花园,闵行区,梅陇镇
id5011000015167,阳光四季公寓,徐汇区,天平路街道
id5011000015170,五洲大厦,长宁区,仙霞新村街道
id5011000015171,景星苑,静安区,彭浦镇
id5011000015174,奥林匹克花园,松江区,九亭镇
id5011000015176,新时代花园,闵行区,古美街道
id5011000015177,花园公寓静安,静安区,南京西路街道
id5011000015178,中南公寓,黄浦区,五里桥街道
id5011000015180,大华公寓静安,静安区,石门二路街道
id5011000015182,东明广场,浦东新区,陆家嘴街道
id5011000015183,寿昌坊,徐汇区,康健新村街道
id5011000015184,景泰大楼,虹口区,提篮桥街道
id5011000015186,光新三村,普陀区,石泉路街道
id5011000015188,泰富苑,普陀区,曹杨新村街道
id5011000015189,益民公寓,静安区,曹家渡街道
id5011000015190,君临颐和花园,闵行区,颛桥镇
id5011000015191,新家坡美树馆,徐汇区,天平路街道
id5011000015192,博苑公寓,静安区,芷江西路街道
id5011000015193,南星小区,静安区,北站街道
id5011000015194,同心城,虹口区,广中路街道
id5011000015195,良清公寓,静安区,江宁路街道
id5011000015196,宝钢公寓,普陀区,宜川路街道
id5011000015197,陆家嘴国际华城,浦东新区,洋泾街道
id5011000015197,陆家嘴国际华城,闵行区,洋泾街道
id5011000015198,国远小区,杨浦区,五角场街道
id5011000015199,恒城花苑,虹口区,欧阳路街道
id5011000015200,静安桂花园,静安区,曹家渡街道
id5011000015202,申乐大厦,静安区,静安寺街道
id5011000015203,中城绿苑,闵行区,梅陇镇
id5011000015204,工商大楼,普陀区,长寿路街道
id5011000015207,营口大厦,杨浦区,五角场镇
id5011000015208,富邑华庭,静安区,宝山路街道
